,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
France,108.103142036,98.142484577,88.930830769,84.973850075,83.845979147,91.371239663,86.3768794521,83.4918179452,93.0142125137,89.4519039726,90.021920137,95.0316493151,88.9000359563,94.4374943836,87.692880137,85.947800274,96.278060929,102.25471863,103.743973699,83.1589110959,89.7339809836,92.4364338356,79.629129589,97.554419863,94.3340024044,91.4808938356,88.1287671233,83.1726027397,92.7677595628,80.0547945205,67,60,47,47,NA
French Guiana,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Gabon,NA,NA,NA,NA,NA,NA,0.19827,0.23355,0.17876,0.35693,0.37183,0.37758,0.36822,0.56192,0.27992,0.27951,0.31225,0.56571,0.3401,0.3734492603,0.3703699891,0.2396492,0.3395771452,0.3058276164,0.3073603169,0.3080249644,0.2437801589,0.4449315069,0.5720547946,0.3032799616,0.5,0.5,0.5,NA,NA
"Gambia, The",NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Georgia,-,-,-,-,-,-,-,-,-,-,-,-,0.74962,0.00868,0.0512,0.02,,0.00068,0.00107,0.0015451781,0.003935377,0.0270915726,0.0005649096,0.0005752658,0.0005991694,0.0006263562,0.0002881315,,,0.0003136767,,,0.0002198192,NA,NA
Germany,-,-,-,-,-,-,-,-,-,-,-,78,84,91,109,104,95,89,89,87,97,96,94,97,95,96,95,98,92,86,85,84,83,84,NA
"Germany, East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Germany, West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ghana,NA,NA,NA,NA,NA,NA,0.24902,0.15405,0.2294,0.18592,0.14894,0.18132,0.25536,0.56897,0.60054,0.60166,0.65889,0.6055,0.15454,0.1872368877,0.3477222186,0.2546232548,0.7982337918,0.8654145315,2.0829342077,2.0510277699,1.1717950301,2.1293150686,1.7479452056,0.4894215288,1,1.5,0.9,NA,NA
Gibraltar,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Greece,5.729609391,8.336581664,8.107397288,8.823598462,7.734972678,6.95890411,8.9616438356,9.6273972603,10.9316939891,12.0410958904,12.5534246575,13.5095890411,13.4699453552,12.7397260274,14.9397260274,15.1315068493,17.5928961749,17.8328767123,20.6547945205,17.6054794521,24.2759562842,24.2191780822,22.0520547945,21.3561643836,18.9535519126,21.0506283562,20.7534246575,20.498630137,21.0765027322,20.5616438356,22,18,21,22,NA
Greenland,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Grenada,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Guadeloupe,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Guam,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Guatemala,NA,NA,NA,NA,NA,NA,0.30894,0.29281,0.22433,0.27163,0.17454,0.30362,0.2741,0.33741,0.4348,0.67785,0.24375,0.19106,0.18011,0.4044112164,0.3109862404,0.2889744767,0.2079944548,,,0.0019815945,0.0020191068,,,0.0025086849,0.0017686027,0.0020826247,0.0018231836,NA,NA
Guinea,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Guinea-Bissau,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Guyana,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Haiti,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Hawaiian Trade Zone,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,NA,NA,NA,NA,NA,NA,0.13437,0.19762,0.16571,0.20665,0.2081,0.15815,0.16879,,,,,,,,,,,,,,,,,,,,,NA,NA
Hong Kong,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
Hungary,10.04416011,10.79458587,9.957572523,10.15961023,10.65027322,10.42465753,9.6630136986,10.3945205479,10.9316939891,10.6794520548,10.5205479452,9.7835616438,10.174863388,10.0438356164,9.6273972603,6.7068493151,2.6639344262,2.2904109589,2.2273972603,2.3232876712,2.3825136612,2.5150684932,11.7002939726,11.7669043836,12.1608190164,11.7382194521,11.1226424658,11.3027561644,12.1549681967,10.6292042466,10,9.2,8.1,9.8,NA
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
India,NA,NA,NA,NA,NA,NA,61.844,50.84462,55.9639,85.72161,68.20707,105.39009,121.14505,128.41133,132.05247,156.6534,162.42959,165.27804,112.8404,134.956788696,190.935058016,221.232992597,230.365464334,243.106111622,247.559121388,245.051313288,264.411734148,275.952033165,287.412240152,279.728339014,302,305,309,NA,NA
